epoch,accuracy,loss,val_accuracy,val_loss
0,0.47633546590805054,1.2259526252746582,0.5533141493797302,1.1118565797805786
1,0.6753390431404114,0.8342061638832092,0.5533141493797302,1.131264328956604
2,0.7282037138938904,0.6874943375587463,0.559077799320221,1.138829231262207
3,0.7918627262115479,0.5501890778541565,0.5850144028663635,1.2414039373397827
4,0.8328258991241455,0.4522325396537781,0.5706051588058472,1.2977021932601929
5,0.8765568733215332,0.3554871678352356,0.5533141493797302,1.5334405899047852
6,0.8793246746063232,0.3194321393966675,0.5561959743499756,1.622291088104248
7,0.9017437100410461,0.27104100584983826,0.5504322648048401,1.632225513458252
8,0.9081096053123474,0.24110159277915955,0.5417867302894592,1.7041338682174683
9,0.9421533346176147,0.174285426735878,0.5648415088653564,1.8352797031402588
10,0.9443675875663757,0.1638120710849762,0.5648415088653564,1.9734032154083252
11,0.9474121332168579,0.15203890204429626,0.5763688683509827,1.9425603151321411
12,0.9546083807945251,0.1405574232339859,0.5648415088653564,2.0046706199645996
13,0.950179934501648,0.14501456916332245,0.5677233338356018,2.030163049697876
14,0.9565458297729492,0.12588541209697723,0.559077799320221,2.378310203552246
15,0.9579296708106995,0.13584654033184052,0.5734870433807373,2.230267286300659
16,0.9656794667243958,0.10359521210193634,0.5706051588058472,2.405322790145874
17,0.9687240719795227,0.0941961258649826,0.5706051588058472,2.2953648567199707
18,0.9709382653236389,0.0920172706246376,0.5821325778961182,2.5016262531280518
19,0.9640188217163086,0.09992091357707977,0.559077799320221,2.5984628200531006
20,0.9656794667243958,0.1052815243601799,0.5417867302894592,2.4983315467834473
21,0.9731525182723999,0.08362926542758942,0.5475504398345947,2.5210232734680176
22,0.972875714302063,0.0808158665895462,0.5475504398345947,2.5692641735076904
23,0.9626349210739136,0.10904551297426224,0.5533141493797302,2.676517963409424
24,0.9587600231170654,0.12249840050935745,0.5360230803489685,2.7107369899749756
