epoch,accuracy,loss,val_accuracy,val_loss
0,0.3985607624053955,1.3137032985687256,0.4927953779697418,1.2428033351898193
1,0.6554110050201416,0.9693658351898193,0.6772334575653076,0.9078878164291382
2,0.797121524810791,0.5801781415939331,0.7118155360221863,0.7757694125175476
3,0.8394685983657837,0.42304226756095886,0.7146974205970764,0.7694582343101501
4,0.874896228313446,0.33818456530570984,0.6974063515663147,0.8128522038459778
5,0.9045115113258362,0.2740844190120697,0.7002881765365601,0.8480612635612488
6,0.924993097782135,0.23041972517967224,0.6945244669914246,0.886714518070221
7,0.9380016326904297,0.18801555037498474,0.680115282535553,0.9372215867042542
8,0.9523941278457642,0.15792793035507202,0.6945244669914246,0.9931701421737671
9,0.9604207277297974,0.13350602984428406,0.680115282535553,1.041924238204956
10,0.9645723700523376,0.12314017862081528,0.6858789920806885,1.1433452367782593
11,0.9673401713371277,0.11182019114494324,0.6887608170509338,1.164937973022461
12,0.9678937196731567,0.10300853848457336,0.6743515729904175,1.1728355884552002
13,0.9723221659660339,0.09413482248783112,0.6887608170509338,1.2577601671218872
14,0.973706066608429,0.09085873514413834,0.680115282535553,1.2463759183883667
15,0.9759202599525452,0.08735501766204834,0.6858789920806885,1.2700462341308594
16,0.9739828109741211,0.08076366037130356,0.6916426420211792,1.3377081155776978
17,0.9745364189147949,0.07857459038496017,0.6743515729904175,1.4196438789367676
18,0.9767506122589111,0.07317426055669785,0.6541786789894104,1.4143840074539185
19,0.9759202599525452,0.07652920484542847,0.680115282535553,1.3725693225860596
20,0.9759202599525452,0.07426081597805023,0.6916426420211792,1.3375848531723022
21,0.9767506122589111,0.07185877859592438,0.6858789920806885,1.3855032920837402
22,0.977027416229248,0.06753785908222198,0.6772334575653076,1.4656025171279907
23,0.976473867893219,0.06754928827285767,0.6714697480201721,1.4603408575057983
24,0.9781345129013062,0.06630941480398178,0.6714697480201721,1.4306249618530273
